scopus_id,article_number,title,eid,citedby_count,creator,aggregationType,coverDate,coverDisplayDate,doi,eIssn,issn,issueIdentifier,pageRange,publication,url,volume,subtype,subtype_description
SCOPUS_ID:84867094263,,Novel antiplatelet agent ticagrelor,2-s2.0-84867094263,0,Liu M.,Journal,2012-08-15,15 August 2012,,,10033734,15,1703-1707,Chinese Journal of New Drugs,http://api.elsevier.com/content/abstract/scopus_id/84867094263,21,ar,Article
SCOPUS_ID:84858379763,,Ceftaroline: A new cephalosporin with activity against resistant Gram-positive pathogens,2-s2.0-84858379763,0,Liu M.,Journal,2012-02-01,February 2012,,,10033734,2,,Chinese Journal of New Drugs,http://api.elsevier.com/content/abstract/scopus_id/84858379763,21,ar,Article
SCOPUS_ID:15544372364,,"A study of the relationships between angiotensin-converting enzyme gene, chymase gene polymorphisms, pharmacological treatment with ACE inhibitor and regression of left ventricular hypertrophy in essential hypertension patients treated with benazepril",2-s2.0-15544372364,7,He H.,Journal,2005-01-01,January 2005,10.1080/03014460400027458,,03014460,1,30-43,Annals of Human Biology,http://api.elsevier.com/content/abstract/scopus_id/15544372364,32,ar,Article
SCOPUS_ID:28744436903,,"Association between angiotensin converting enzyme gene, chymase gene and regression of left ventricular hypertrophy in patients treated with angiotensin converting enzyme inhibitors.",2-s2.0-28744436903,0,He H.,Journal,2004-01-01,Sep 2004,,,02546450,9,756-760,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,http://api.elsevier.com/content/abstract/scopus_id/28744436903,25,ar,Article
SCOPUS_ID:0036615101,,Prevalence and relevant factors on echocardiographic left ventricular hypertrophy among community-based hypertensive patients in Shanghai.,2-s2.0-0036615101,8,Zhan S.,Journal,2002-01-01,Jun 2002,,,02546450,3,182-185,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,http://api.elsevier.com/content/abstract/scopus_id/0036615101,23,ar,Article
SCOPUS_ID:85031916536,,Fast SVM trained by divide-and-conquer anchors,2-s2.0-85031916536,0,Liu M.,Conference Proceeding,2017-01-01,2017,,,10450823,,2322-2328,IJCAI International Joint Conference on Artificial Intelligence,http://api.elsevier.com/content/abstract/scopus_id/85031916536,,cp,Conference Paper
SCOPUS_ID:84875226138,,A critical role for protein degradation in the nucleus accumbens core in cocaine reward memory,2-s2.0-84875226138,35,Ren Z.,Journal,2013-04-01,April 2013,10.1038/npp.2012.243,1740634X,0893133X,5,778-790,Neuropsychopharmacology,http://api.elsevier.com/content/abstract/scopus_id/84875226138,38,ar,Article
SCOPUS_ID:84883213238,,Glycine site N-methyl-D-aspartate receptor antagonist 7-CTKA produces rapid antidepressant-like effects in male rats,2-s2.0-84883213238,24,Zhu W.,Journal,2013-01-01,September 2013,10.1503/jpn.120228,14882434,11804882,5,306-316,Journal of Psychiatry and Neuroscience,http://api.elsevier.com/content/abstract/scopus_id/84883213238,38,ar,Article
SCOPUS_ID:84862785375,,Venlafaxine facilitates between-session extinction and prevents reinstatement of auditory-cue conditioned fear,2-s2.0-84862785375,10,Yang C.,Journal,2012-04-21,21 April 2012,10.1016/j.bbr.2012.02.023,18727549,01664328,1,268-273,Behavioural Brain Research,http://api.elsevier.com/content/abstract/scopus_id/84862785375,230,ar,Article
SCOPUS_ID:85014922230,,Structural uncertainty in air mass factor calculation for NO<inf>2</inf>and HCHO satellite retrievals,2-s2.0-85014922230,4,Lorente A.,Journal,2017-03-07,7 March 2017,10.5194/amt-10-759-2017,18678548,18671381,3,759-782,Atmospheric Measurement Techniques,http://api.elsevier.com/content/abstract/scopus_id/85014922230,10,ar,Article
SCOPUS_ID:84971207701,,"Rapid growth in nitrogen dioxide pollution over Western China, 2005-2013",2-s2.0-84971207701,8,Cui Y.,Journal,2016-05-20,20 May 2016,10.5194/acp-16-6207-2016,16807324,16807316,10,6207-6221,Atmospheric Chemistry and Physics,http://api.elsevier.com/content/abstract/scopus_id/84971207701,16,ar,Article
SCOPUS_ID:84943788390,,Influence of aerosols and surface reflectance on satellite NO<inf>2</inf>retrieval: Seasonal and spatial characteristics and implications for NO<inf>x</inf>emission constraints,2-s2.0-84943788390,13,Lin J.,Journal,2015-10-09,9 October 2015,10.5194/acp-15-11217-2015,16807324,16807316,19,11217-11241,Atmospheric Chemistry and Physics,http://api.elsevier.com/content/abstract/scopus_id/84943788390,15,ar,Article
SCOPUS_ID:84905814384,e104117,A new model for predicting non-sentinel lymph node status in Chinese sentinel lymph node positive breast cancer patients,2-s2.0-84905814384,2,Liu M.,Journal,2014-08-11,11 August 2014,10.1371/journal.pone.0104117,19326203,,8,,PLoS ONE,http://api.elsevier.com/content/abstract/scopus_id/84905814384,9,ar,Article
SCOPUS_ID:84905055048,,Effect of calcitonin on anastrozole-induced bone pain during aromatase inhibitor therapy for breast cancer,2-s2.0-84905055048,3,Liu P.,Journal,2014-07-24,24 July 2014,10.4238/2014.July.24.7,16765680,,3,5285-5291,Genetics and Molecular Research,http://api.elsevier.com/content/abstract/scopus_id/84905055048,13,ar,Article
SCOPUS_ID:84902248302,,Comparative validation of MSKCC and SOC models for predicting non-sentinel lymph node metastasis in Chinese breast cancer patients,2-s2.0-84902248302,0,Cao Y.,Journal,2014-04-30,30 April 2014,10.3969/j.issn.1000-8179.21031009,,10008179,8,508-512,Chinese Journal of Clinical Oncology,http://api.elsevier.com/content/abstract/scopus_id/84902248302,41,ar,Article
SCOPUS_ID:84924759127,,Online colour training system for dental students: A comprehensive assessment of different training protocols,2-s2.0-84924759127,2,Liu M.,Journal,2015-01-01,1 April 2015,10.1111/joor.12253,13652842,0305182X,4,282-290,Journal of Oral Rehabilitation,http://api.elsevier.com/content/abstract/scopus_id/84924759127,42,ar,Article
SCOPUS_ID:84897823390,6727733,Design and test of prototype attitude control system as telescope stabilizer with fiber optic gyroscopes,2-s2.0-84897823390,2,Li Y.,Conference Proceeding,2013-12-01,2013,10.1109/ICSensT.2013.6727733,21568073,21568065,,650-654,"Proceedings of the International Conference on Sensing Technology, ICST",http://api.elsevier.com/content/abstract/scopus_id/84897823390,,cp,Conference Paper
SCOPUS_ID:84874747419,,Balance orthogonal demodulation with combined adaptive optimization for interferometric fiber optic gyroscopes,2-s2.0-84874747419,1,Li Y.,Book Series,2013-03-12,2013,10.4028/www.scientific.net/AMM.303-306.63,16627482,16609336,,63-66,Applied Mechanics and Materials,http://api.elsevier.com/content/abstract/scopus_id/84874747419,303-306,cp,Conference Paper
SCOPUS_ID:85014648854,,Vanadium-doped tin oxide porous nanofibers: Enhanced responsivity for hydrogen detection,2-s2.0-85014648854,1,Xu X.,Journal,2017-05-15,15 May 2017,10.1016/j.talanta.2017.03.013,,00399140,,638-644,Talanta,http://api.elsevier.com/content/abstract/scopus_id/85014648854,167,ar,Article
SCOPUS_ID:85009060734,,Substitution effect of super hydrophobic units: A new strategy to design deep blue fluorescent emitters,2-s2.0-85009060734,0,Li K.,Journal,2017-04-01,1 April 2017,10.1016/j.dyepig.2016.12.034,18733743,01437208,,747-755,Dyes and Pigments,http://api.elsevier.com/content/abstract/scopus_id/85009060734,139,ar,Article
SCOPUS_ID:85014140712,,Thermal and Optical Modulation of the Carrier Mobility in OTFTs Based on an Azo-anthracene Liquid Crystal Organic Semiconductor,2-s2.0-85014140712,1,Chen Y.,Journal,2017-03-01,1 March 2017,10.1021/acsami.6b13500,19448252,19448244,8,7305-7314,ACS Applied Materials and Interfaces,http://api.elsevier.com/content/abstract/scopus_id/85014140712,9,ar,Article
SCOPUS_ID:25844516540,,Coherent evolution computing model,2-s2.0-25844516540,0,Xiong W.,Journal,2005-08-01,August 2005,,,10036059,4,441-446,Moshi Shibie yu Rengong Zhineng/Pattern Recognition and Artificial Intelligence,http://api.elsevier.com/content/abstract/scopus_id/25844516540,18,ar,Article
SCOPUS_ID:22844444306,,Gene-orientation operator for genetic algorithm,2-s2.0-22844444306,1,Xiong W.,Journal,2005-06-01,June 2005,,,10008152,3,491-494,Kongzhi Lilun Yu Yingyong/Control Theory and Applications,http://api.elsevier.com/content/abstract/scopus_id/22844444306,22,ar,Article
SCOPUS_ID:65249186389,,Test-data generation guided by static defect detection,2-s2.0-65249186389,11,Hao D.,Journal,2009-03-01,March 2009,10.1007/s11390-009-9224-5,,10009000,2,284-293,Journal of Computer Science and Technology,http://api.elsevier.com/content/abstract/scopus_id/65249186389,24,ar,Article
SCOPUS_ID:46449107252,,A new approach to automated test data generation in mutation testing,2-s2.0-46449107252,13,Shan J.,Journal,2008-06-01,June 2008,,,02544164,6,1025-1034,Jisuanji Xuebao/Chinese Journal of Computers,http://api.elsevier.com/content/abstract/scopus_id/46449107252,31,ar,Article
SCOPUS_ID:34547261949,4021328,An approach to test data generation for killing multiple mutants,2-s2.0-34547261949,18,Liu M.,Conference Proceeding,2006-12-01,2006,10.1109/ICSM.2006.13,,,,113-122,"IEEE International Conference on Software Maintenance, ICSM",http://api.elsevier.com/content/abstract/scopus_id/34547261949,,cp,Conference Paper
SCOPUS_ID:85018860037,,"Of time, leadership, and governance: Elite incentives and stability maintenance in China",2-s2.0-85018860037,0,Hou L.,Journal,2017-01-01,2017,10.1111/gove.12286,14680491,09521895,,,Governance,http://api.elsevier.com/content/abstract/scopus_id/85018860037,,ip,Article in Press
SCOPUS_ID:84969850489,,Collective Resistance under Authoritarianism: Elite¨CMass Strategies in an Experimental Game,2-s2.0-84969850489,0,Chong D.,Journal,2016-12-01,1 December 2016,10.1007/s11109-016-9342-z,,01909320,4,951-976,Political Behavior,http://api.elsevier.com/content/abstract/scopus_id/84969850489,38,ar,Article
SCOPUS_ID:84917436818,,"Intermediate associations, grassroots elites and collective petitioning in rural China",2-s2.0-84917436818,1,Tao Y.,Book,2013-01-01,1 January 2013,10.4324/9780203067918,,,,110-135,Elites and Governance in China,http://api.elsevier.com/content/abstract/scopus_id/84917436818,,ch,Chapter
SCOPUS_ID:84941214542,,Surface modification of zirconia with polydopamine to enhance fibroblast response and decrease bacterial activity in vitro: A potential technique for soft tissue engineering applications,2-s2.0-84941214542,6,Liu M.,Journal,2015-12-01,"December 01, 2015",10.1016/j.colsurfb.2015.06.047,18734367,09277765,,74-83,Colloids and Surfaces B: Biointerfaces,http://api.elsevier.com/content/abstract/scopus_id/84941214542,136,ar,Article
SCOPUS_ID:84949008459,e0140278,Enhanced biological behavior of in vitro human gingival fibroblasts on cold plasma-treated zirconia,2-s2.0-84949008459,4,Zheng M.,Journal,2015-10-13,13 October 2015,10.1371/journal.pone.0140278,19326203,,10,,PLoS ONE,http://api.elsevier.com/content/abstract/scopus_id/84949008459,10,ar,Article
SCOPUS_ID:84900361046,,[Coverage errors of five shade guide systems to vital natural teeth].,2-s2.0-84900361046,0,Chen L.,Journal,2013-08-01,August 2013,,,10020098,8,449-452,Zhonghua kou qiang yi xue za zhi = Zhonghua kouqiang yixue zazhi = Chinese journal of stomatology,http://api.elsevier.com/content/abstract/scopus_id/84900361046,48,ar,Article
SCOPUS_ID:84994012325,,The effects of the 2006 SEC executive compensation disclosure rules on managerial incentives,2-s2.0-84994012325,0,Espahbodi R.,Journal,2016-12-01,1 December 2016,10.1016/j.jcae.2016.09.003,,18155669,3,241-256,Journal of Contemporary Accounting and Economics,http://api.elsevier.com/content/abstract/scopus_id/84994012325,12,ar,Article
SCOPUS_ID:84996558994,,Does dividend policy drive repurchases? An empirical study,2-s2.0-84996558994,0,Liu N.,Journal,2016-01-11,11 January 2016,10.1108/MF-10-2015-0258,17587743,03074358,1,13-22,Managerial Finance,http://api.elsevier.com/content/abstract/scopus_id/84996558994,42,ar,Article
SCOPUS_ID:84961937729,244,The social context of the Chinese food system: An ethnographic study of the Beijing seafood market,2-s2.0-84961937729,2,Fabinyi M.,Journal,2016-03-01,"March 01, 2016",10.3390/su8030244,20711050,,3,,Sustainability (Switzerland),http://api.elsevier.com/content/abstract/scopus_id/84961937729,8,ar,Article
SCOPUS_ID:84903525220,,The Chinese policy and governance context for global fisheries,2-s2.0-84903525220,7,Fabinyi M.,Journal,2014-01-01,August 2014,10.1016/j.ocecoaman.2014.03.022,,09645691,,198-202,Ocean and Coastal Management,http://api.elsevier.com/content/abstract/scopus_id/84903525220,96,ar,Article
SCOPUS_ID:84994820059,,Seafood banquets in Beijing: Consumer perspectives and implications for environmental sustainability,2-s2.0-84994820059,18,Fabinyi M.,Journal,2014-01-01,2014,10.4103/0972-4923.138423,09753133,09724923,2,218-228,Conservation and Society,http://api.elsevier.com/content/abstract/scopus_id/84994820059,12,ar,Article
SCOPUS_ID:84959237976,161,Elevated D-dimer and fibrinogen levels in serum of preoperative bone fracture patients,2-s2.0-84959237976,2,Liu C.,Journal,2016-12-01,1 December 2016,10.1186/s40064-016-1817-1,21931801,,1,1-5,SpringerPlus,http://api.elsevier.com/content/abstract/scopus_id/84959237976,5,ar,Article
SCOPUS_ID:84954376789,,GII.4 Sydney_2012 norovirus infection in immunocompromised patients in Beijing and its rapid evolution in vivo,2-s2.0-84954376789,3,Mai H.,Journal,2016-02-01,1 February 2016,10.1002/jmv.24332,10969071,01466615,2,224-233,Journal of Medical Virology,http://api.elsevier.com/content/abstract/scopus_id/84954376789,88,ar,Article
SCOPUS_ID:84881599094,e71483,"Clinical and Epidemiologic Characteristics of Norovirus GII.4 Sydney during Winter 2012-13 in Beijing, China following Its Global Emergence",2-s2.0-84881599094,18,Mai H.,Journal,2013-08-16,16 August 2013,10.1371/journal.pone.0071483,19326203,,8,,PLoS ONE,http://api.elsevier.com/content/abstract/scopus_id/84881599094,8,ar,Article
SCOPUS_ID:85032442764,7172560,Minimizing Completion Time for Order Scheduling: Formulation and Heuristic Algorithm,2-s2.0-85032442764,0,Shi Z.,Journal,2017-10-01,October 2017,10.1109/TASE.2015.2456131,,15455955,4,1558-1569,IEEE Transactions on Automation Science and Engineering,http://api.elsevier.com/content/abstract/scopus_id/85032442764,14,ar,Article
SCOPUS_ID:85018571039,1750003,Simulation Optimization for MRO Systems Operations,2-s2.0-85018571039,0,Liu P.,Journal,2017-04-01,1 April 2017,10.1142/S0217595917500038,,02175959,2,,Asia-Pacific Journal of Operational Research,http://api.elsevier.com/content/abstract/scopus_id/85018571039,34,ar,Article
SCOPUS_ID:84952759231,7294259,Production planning for a class of batch processing problem,2-s2.0-84952759231,0,Shi Z.,Conference Proceeding,2015-10-07,7 October 2015,10.1109/CoASE.2015.7294259,21618089,21618070,,1188-1193,IEEE International Conference on Automation Science and Engineering,http://api.elsevier.com/content/abstract/scopus_id/84952759231,2015-October,cp,Conference Paper
SCOPUS_ID:85028022426,,Revelation on remaining oil and full length hydraulic simulation of single sand bodies based on 3D models in low permeability heterogeneous reservoirs,2-s2.0-85028022426,0,Liu P.,Journal,2017-06-20,20 June 2017,10.3969/j.issn.1673-5005.2017.03.007,,16735005,3,56-64,Zhongguo Shiyou Daxue Xuebao (Ziran Kexue Ban)/Journal of China University of Petroleum (Edition of Natural Science),http://api.elsevier.com/content/abstract/scopus_id/85028022426,41,ar,Article
SCOPUS_ID:85006972670,,Three-dimensional structural modeling technique,2-s2.0-85006972670,1,Li Z.,Journal,2016-12-01,1 December 2016,10.3799/dqkx.2016.149,,10002383,12,2136-2146,Diqiu Kexue - Zhongguo Dizhi Daxue Xuebao/Earth Science - Journal of China University of Geosciences,http://api.elsevier.com/content/abstract/scopus_id/85006972670,41,ar,Article
SCOPUS_ID:84974720901,,Characterization and fracturing stimulation on single sand body of tight sandstone oil reservoir in Ansai oilfield,2-s2.0-84974720901,0,Zhu D.,Journal,2016-05-20,20 May 2016,10.13209/j.0479-8023.2015.117,,04798023,3,457-466,Beijing Daxue Xuebao (Ziran Kexue Ban)/Acta Scientiarum Naturalium Universitatis Pekinensis,http://api.elsevier.com/content/abstract/scopus_id/84974720901,52,ar,Article
SCOPUS_ID:84928926179,,Regulation of transcriptionally active genes via the catalytically inactive Cas9 in C. elegans and D. rerio,2-s2.0-84928926179,13,Long L.,Journal,2015-01-01,7 May 2015,10.1038/cr.2015.35,17487838,10010602,5,638-641,Cell Research,http://api.elsevier.com/content/abstract/scopus_id/84928926179,25,le,Letter
SCOPUS_ID:84903818736,,Heritable/conditional genome editing in C. elegans using a CRISPR-Cas9 feeding system,2-s2.0-84903818736,21,Liu P.,Journal,2014-01-01,July 2014,10.1038/cr.2014.73,17487838,10010602,7,886-889,Cell Research,http://api.elsevier.com/content/abstract/scopus_id/84903818736,24,le,Letter
SCOPUS_ID:80555122835,,Mir-35 is involved in intestine cell G1/S transition and germ cell proliferation in C. elegans,2-s2.0-80555122835,12,Liu M.,Journal,2011-11-01,November 2011,10.1038/cr.2011.102,17487838,10010602,11,1605-1618,Cell Research,http://api.elsevier.com/content/abstract/scopus_id/80555122835,21,ar,Article
SCOPUS_ID:85010653620,,Antiphospholipid antibody titers and clinical outcomes in patients with recurrent miscarriage and antiphospholipid antibody syndrome: A prospective study,2-s2.0-85010653620,0,Song Y.,Journal,2017-02-05,5 February 2017,10.4103/0366-6999.198934,,03666999,3,267-272,Chinese Medical Journal,http://api.elsevier.com/content/abstract/scopus_id/85010653620,130,ar,Article
SCOPUS_ID:84999053525,,Intrauterine insemination treatment strategy for women over 35 years old: Based on a large sample multi-center retrospective analysis,2-s2.0-84999053525,0,Yang S.,Journal,2016-12-05,5 December 2016,10.4103/0366-6999.194647,,03666999,23,2873-2875,Chinese Medical Journal,http://api.elsevier.com/content/abstract/scopus_id/84999053525,129,no,Note
SCOPUS_ID:84961258761,,Clinical features of adult/adolescent atopic dermatitis and chinese criteria for atopic dermatitis,2-s2.0-84961258761,9,Liu P.,Journal,2016-04-05,5 April 2016,10.4103/0366-6999.178960,,03666999,7,757-762,Chinese Medical Journal,http://api.elsevier.com/content/abstract/scopus_id/84961258761,129,ar,Article
SCOPUS_ID:84903957306,5632,"Antidepressant-like activity of adhyperforin, a novel constituent of Hypericum perforatum L.",2-s2.0-84903957306,11,Tian J.,Journal,2014-07-09,9 July 2014,10.1038/srep05632,20452322,,,,Scientific Reports,http://api.elsevier.com/content/abstract/scopus_id/84903957306,4,ar,Article
SCOPUS_ID:84917729636,,"Effects of Xuezhikang in patients with dyslipidemia: A multicenter, randomized, placebo-controlled study",2-s2.0-84917729636,17,Moriarty P.,Journal,2014-01-01,2014,10.1016/j.jacl.2014.09.002,18764789,19332874,6,568-575,Journal of Clinical Lipidology,http://api.elsevier.com/content/abstract/scopus_id/84917729636,8,ar,Article
SCOPUS_ID:85021849318,,Analysis on the consistency and timeliness of death data gathered from different sources in the residents of Beijing,2-s2.0-85021849318,0,Liu Q.,Journal,2016-12-10,10 December 2016,10.3760/cma.j.issn.0254-6450.2016.12.013,,02546450,12,1619-1624,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,http://api.elsevier.com/content/abstract/scopus_id/85021849318,37,ar,Article
SCOPUS_ID:84890377281,,The building of a comprehensive toponym corpus for Chinese information processing,2-s2.0-84890377281,0,Liu Q.,Journal,2013-12-19,2013,,,21852766,5,1409-1415,"ICIC Express Letters, Part B: Applications",http://api.elsevier.com/content/abstract/scopus_id/84890377281,4,ar,Article
SCOPUS_ID:70349657146,5068713,Improvement of Au cantilever fabrication process with Cu as a sacrificial layer,2-s2.0-70349657146,0,Liu Q.,Conference Proceeding,2009-10-12,2009,10.1109/NEMS.2009.5068713,,,,872-876,"4th IEEE International Conference on Nano/Micro Engineered and Molecular Systems, NEMS 2009",http://api.elsevier.com/content/abstract/scopus_id/70349657146,,cp,Conference Paper
SCOPUS_ID:11144291554,,A regular parallel RSA processor,2-s2.0-11144291554,15,Liu Q.,Conference Proceeding,2004-12-01,2004,,,15483746,,,Midwest Symposium on Circuits and Systems,http://api.elsevier.com/content/abstract/scopus_id/11144291554,3,cp,Conference Paper
SCOPUS_ID:84992125738,,Role of steel slags on biomass/carbon dioxide gasification integrated with recovery of high temperature heat,2-s2.0-84992125738,2,Sun Y.,Journal,2017-01-01,1 January 2017,10.1016/j.biortech.2016.10.028,18732976,09608524,,1-9,Bioresource Technology,http://api.elsevier.com/content/abstract/scopus_id/84992125738,223,ar,Article
SCOPUS_ID:84981210880,,Integrated biomass gasification using the waste heat from hot slags: Control of syngas and polluting gas releases,2-s2.0-84981210880,2,Sun Y.,Journal,2016-11-01,1 November 2016,10.1016/j.energy.2016.07.161,,03605442,,165-176,Energy,http://api.elsevier.com/content/abstract/scopus_id/84981210880,114,ar,Article
SCOPUS_ID:84962686213,,Facile and economical synthesis of porous activated semi-cokes for highly efficient and fast removal of microcystin-LR,2-s2.0-84962686213,1,Chen Y.,Journal,2015-12-01,"December 01, 2015",10.1016/j.jhazmat.2015.06.049,18733336,03043894,,325-332,Journal of Hazardous Materials,http://api.elsevier.com/content/abstract/scopus_id/84962686213,299,ar,Article
SCOPUS_ID:84947040840,,Ischemic Liver Injury After Complete Occlusion of Hepatic Artery in the Treatment of Delayed Postoperative Arterial Bleeding,2-s2.0-84947040840,1,Zhang J.,Journal,2015-12-01,1 December 2015,10.1007/s11605-015-2930-0,,1091255X,12,2235-2242,Journal of Gastrointestinal Surgery,http://api.elsevier.com/content/abstract/scopus_id/84947040840,19,ar,Article
SCOPUS_ID:84935001252,,A scoring system for prediction of early recurrence after liver resection for Barcelona Clinic Liver Cancer stage B hepatocellular carcinoma,2-s2.0-84935001252,1,Qian H.,Journal,2014-01-01,16 September 2014,10.3760/cma.j.issn.0366-6999.20142010,,03666999,24,4171-4176,Chinese Medical Journal,http://api.elsevier.com/content/abstract/scopus_id/84935001252,127,ar,Article
SCOPUS_ID:82455210406,,Management of delayed post-pancreaticoduodenectomy arterial bleeding: Interventional radiological treatment First,2-s2.0-82455210406,14,Zhang J.,Journal,2011-01-01,November 2011,10.1159/000331456,14243911,14243903,5,455-463,Pancreatology,http://api.elsevier.com/content/abstract/scopus_id/82455210406,11,ar,Article
SCOPUS_ID:85032468954,,Confined-solution process for high-quality CH<inf>3</inf>NH<inf>3</inf>PbBr<inf>3</inf>single crystals with controllable morphologies,2-s2.0-85032468954,0,Li Y.,Journal,2017-10-28,28 October 2017,10.1007/s12274-017-1875-x,19980000,19980124,,1-7,Nano Research,http://api.elsevier.com/content/abstract/scopus_id/85032468954,,ip,Article in Press
SCOPUS_ID:85019262272,,Residual nano films and patterns formed by non-volatile liquid dewetting on smooth surfaces,2-s2.0-85019262272,0,Liu Q.,Journal,2017-01-01,2017,10.1016/j.cplett.2017.05.020,,00092614,,17-21,Chemical Physics Letters,http://api.elsevier.com/content/abstract/scopus_id/85019262272,680,ar,Article
SCOPUS_ID:84971275422,,Nanoscale View of Dewetting and Coating on Partially Wetted Solids,2-s2.0-84971275422,7,Deng Y.,Journal,2016-05-19,19 May 2016,10.1021/acs.jpclett.6b00620,19487185,,10,1763-1768,Journal of Physical Chemistry Letters,http://api.elsevier.com/content/abstract/scopus_id/84971275422,7,ar,Article
SCOPUS_ID:59849114938,,Meshing scheme in the computation of spontaneous fault rupture process,2-s2.0-59849114938,1,Liu Q.,Journal,2008-09-01,September 2008,10.1007/s11589-008-0449-0,,10009116,5,449-455,Acta Seismologica Sinica English Edition,http://api.elsevier.com/content/abstract/scopus_id/59849114938,21,ar,Article
SCOPUS_ID:79953121078,,A new method to calculate nearfield radiation excited by heterogeneous fault rupture,2-s2.0-79953121078,0,Shang X.,Journal,2007-11-01,November 2007,,,02533782,6,561-568,Acta Seismologica Sinica,http://api.elsevier.com/content/abstract/scopus_id/79953121078,29,ar,Article
SCOPUS_ID:40749120159,,A new method to calculate near-field radiation excited by heterogeneous fault rupture,2-s2.0-40749120159,0,Shang X.,Journal,2007-11-01,November 2007,10.1007/s11589-007-0597-7,,10009116,6,597-604,Acta Seismologica Sinica English Edition,http://api.elsevier.com/content/abstract/scopus_id/40749120159,20,ar,Article
SCOPUS_ID:84974696025,,Economic and environmental effects of improved auto fuel economy standard in China: A CGE analysis,2-s2.0-84974696025,0,Liu Q.,Journal,2016-05-20,20 May 2016,10.13209/j.0479-8023.2016.032,,04798023,3,515-527,Beijing Daxue Xuebao (Ziran Kexue Ban)/Acta Scientiarum Naturalium Universitatis Pekinensis,http://api.elsevier.com/content/abstract/scopus_id/84974696025,52,ar,Article
